"月份","能源类型","用量","单位","组织","地点","部门","设备","备注"
"2025-10","电力","499","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0490","多记录删除子查询路径验证"
"2025-11","电力","500","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0491","多记录删除子查询路径验证"
"2025-12","电力","501","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0492","多记录删除子查询路径验证"
"2025-01","电力","502","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0493","多记录删除子查询路径验证"
"2025-02","电力","503","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0494","多记录删除子查询路径验证"
"2025-03","电力","504","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0495","多记录删除子查询路径验证"
"2025-04","电力","505","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0496","多记录删除子查询路径验证"
"2025-05","电力","506","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0497","多记录删除子查询路径验证"
"2025-06","电力","507","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0498","多记录删除子查询路径验证"
"2025-07","电力","508","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0499","多记录删除子查询路径验证"
"2025-08","电力","509","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0500","多记录删除子查询路径验证"
"2025-09","电力","510","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0501","多记录删除子查询路径验证"
"2025-10","电力","511","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0502","多记录删除子查询路径验证"
"2025-11","电力","512","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0503","多记录删除子查询路径验证"
"2025-12","电力","513","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0504","多记录删除子查询路径验证"
"2025-01","电力","514","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0505","多记录删除子查询路径验证"
"2025-02","电力","515","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0506","多记录删除子查询路径验证"
"2025-03","电力","516","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0507","多记录删除子查询路径验证"
"2025-04","电力","517","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0508","多记录删除子查询路径验证"
"2025-05","电力","518","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0509","多记录删除子查询路径验证"
"2025-06","电力","519","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0510","多记录删除子查询路径验证"
"2025-07","电力","520","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0511","多记录删除子查询路径验证"
"2025-08","电力","521","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0512","多记录删除子查询路径验证"
"2025-09","电力","522","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0513","多记录删除子查询路径验证"
"2025-10","电力","523","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0514","多记录删除子查询路径验证"
"2025-11","电力","524","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0515","多记录删除子查询路径验证"
"2025-12","电力","525","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0516","多记录删除子查询路径验证"
"2025-01","电力","526","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0517","多记录删除子查询路径验证"
"2025-02","电力","527","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0518","多记录删除子查询路径验证"
"2025-03","电力","528","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0519","多记录删除子查询路径验证"
"2025-04","电力","529","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0520","多记录删除子查询路径验证"
"2025-05","电力","530","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0521","多记录删除子查询路径验证"
"2025-06","电力","531","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0522","多记录删除子查询路径验证"
"2025-07","电力","532","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0523","多记录删除子查询路径验证"
"2025-08","电力","533","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0524","多记录删除子查询路径验证"
"2025-09","电力","534","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0525","多记录删除子查询路径验证"
"2025-10","电力","535","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0526","多记录删除子查询路径验证"
"2025-11","电力","536","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0527","多记录删除子查询路径验证"
"2025-12","电力","537","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0528","多记录删除子查询路径验证"
"2025-01","电力","538","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0529","多记录删除子查询路径验证"
"2025-02","电力","539","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0530","多记录删除子查询路径验证"
"2025-03","电力","540","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0531","多记录删除子查询路径验证"
"2025-04","电力","541","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0532","多记录删除子查询路径验证"
"2025-05","电力","542","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0533","多记录删除子查询路径验证"
"2025-06","电力","543","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0534","多记录删除子查询路径验证"
"2025-07","电力","544","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0535","多记录删除子查询路径验证"
"2025-08","电力","545","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0536","多记录删除子查询路径验证"
"2025-09","电力","546","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0537","多记录删除子查询路径验证"
"2025-10","电力","547","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0538","多记录删除子查询路径验证"
"2025-11","电力","548","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0539","多记录删除子查询路径验证"
"2025-12","电力","549","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0540","多记录删除子查询路径验证"
"2025-01","电力","550","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0541","多记录删除子查询路径验证"
"2025-02","电力","551","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0542","多记录删除子查询路径验证"
"2025-03","电力","552","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0543","多记录删除子查询路径验证"
"2025-04","电力","553","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0544","多记录删除子查询路径验证"
"2025-05","电力","554","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0545","多记录删除子查询路径验证"
"2025-06","电力","555","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0546","多记录删除子查询路径验证"
"2025-07","电力","556","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0547","多记录删除子查询路径验证"
"2025-08","电力","557","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0548","多记录删除子查询路径验证"
"2025-09","电力","558","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0549","多记录删除子查询路径验证"
"2025-10","电力","559","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0550","多记录删除子查询路径验证"
"2025-11","电力","560","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0551","多记录删除子查询路径验证"
"2025-12","电力","561","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0552","多记录删除子查询路径验证"
"2025-01","电力","562","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0553","多记录删除子查询路径验证"
"2025-02","电力","563","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0554","多记录删除子查询路径验证"
"2025-03","电力","564","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0555","多记录删除子查询路径验证"
"2025-04","电力","565","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0556","多记录删除子查询路径验证"
"2025-05","电力","566","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0557","多记录删除子查询路径验证"
"2025-06","电力","567","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0558","多记录删除子查询路径验证"
"2025-07","电力","568","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0559","多记录删除子查询路径验证"
"2025-08","电力","569","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0560","多记录删除子查询路径验证"
"2025-09","电力","570","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0561","多记录删除子查询路径验证"
"2025-10","电力","571","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0562","多记录删除子查询路径验证"
"2025-11","电力","572","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0563","多记录删除子查询路径验证"
"2025-12","电力","573","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0564","多记录删除子查询路径验证"
"2025-01","电力","574","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0565","多记录删除子查询路径验证"
"2025-02","电力","575","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0566","多记录删除子查询路径验证"
"2025-03","电力","576","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0567","多记录删除子查询路径验证"
"2025-04","电力","577","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0568","多记录删除子查询路径验证"
"2025-05","电力","578","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0569","多记录删除子查询路径验证"
"2025-06","电力","579","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0570","多记录删除子查询路径验证"
"2025-07","电力","580","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0571","多记录删除子查询路径验证"
"2025-08","电力","581","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0572","多记录删除子查询路径验证"
"2025-09","电力","582","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0573","多记录删除子查询路径验证"
"2025-10","电力","583","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0574","多记录删除子查询路径验证"
"2025-11","电力","584","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0575","多记录删除子查询路径验证"
"2025-12","电力","585","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0576","多记录删除子查询路径验证"
"2025-01","电力","586","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0577","多记录删除子查询路径验证"
"2025-02","电力","587","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0578","多记录删除子查询路径验证"
"2025-03","电力","588","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0579","多记录删除子查询路径验证"
"2025-04","电力","589","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0580","多记录删除子查询路径验证"
"2025-05","电力","590","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0581","多记录删除子查询路径验证"
"2025-06","电力","591","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0582","多记录删除子查询路径验证"
"2025-07","电力","592","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0583","多记录删除子查询路径验证"
"2025-08","电力","593","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0584","多记录删除子查询路径验证"
"2025-09","电力","594","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0585","多记录删除子查询路径验证"
"2025-10","电力","595","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0586","多记录删除子查询路径验证"
"2025-11","电力","596","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0587","多记录删除子查询路径验证"
"2025-12","电力","597","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0588","多记录删除子查询路径验证"
"2025-01","电力","598","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0589","多记录删除子查询路径验证"
"2025-02","电力","599","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0590","多记录删除子查询路径验证"
"2025-03","电力","600","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0591","多记录删除子查询路径验证"
"2025-04","电力","601","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0592","多记录删除子查询路径验证"
"2025-05","电力","602","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0593","多记录删除子查询路径验证"
"2025-06","电力","603","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0594","多记录删除子查询路径验证"
"2025-07","电力","604","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0595","多记录删除子查询路径验证"
"2025-08","电力","605","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0596","多记录删除子查询路径验证"
"2025-09","电力","606","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0597","多记录删除子查询路径验证"
"2025-10","电力","607","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0598","多记录删除子查询路径验证"
"2025-11","电力","608","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0599","多记录删除子查询路径验证"
"2025-12","电力","609","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0600","多记录删除子查询路径验证"
"2025-01","电力","610","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0601","多记录删除子查询路径验证"
"2025-02","电力","611","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0602","多记录删除子查询路径验证"
"2025-03","电力","612","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0603","多记录删除子查询路径验证"
"2025-04","电力","613","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0604","多记录删除子查询路径验证"
"2025-05","电力","614","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0605","多记录删除子查询路径验证"
"2025-06","电力","615","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0606","多记录删除子查询路径验证"
"2025-07","电力","616","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0607","多记录删除子查询路径验证"
"2025-08","电力","617","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0608","多记录删除子查询路径验证"
"2025-09","电力","618","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0609","多记录删除子查询路径验证"
"2025-10","电力","619","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0610","多记录删除子查询路径验证"
"2025-11","电力","620","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0611","多记录删除子查询路径验证"
"2025-12","电力","621","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0612","多记录删除子查询路径验证"
"2025-01","电力","622","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0613","多记录删除子查询路径验证"
"2025-02","电力","623","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0614","多记录删除子查询路径验证"
"2025-03","电力","624","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0615","多记录删除子查询路径验证"
"2025-04","电力","625","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0616","多记录删除子查询路径验证"
"2025-05","电力","626","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0617","多记录删除子查询路径验证"
"2025-06","电力","627","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0618","多记录删除子查询路径验证"
"2025-07","电力","628","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0619","多记录删除子查询路径验证"
"2025-08","电力","629","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0620","多记录删除子查询路径验证"
"2025-09","电力","630","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0621","多记录删除子查询路径验证"
"2025-10","电力","631","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0622","多记录删除子查询路径验证"
"2025-11","电力","632","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0623","多记录删除子查询路径验证"
"2025-12","电力","633","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0624","多记录删除子查询路径验证"
"2025-01","电力","634","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0625","多记录删除子查询路径验证"
"2025-02","电力","635","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0626","多记录删除子查询路径验证"
"2025-03","电力","636","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0627","多记录删除子查询路径验证"
"2025-04","电力","637","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0628","多记录删除子查询路径验证"
"2025-05","电力","638","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0629","多记录删除子查询路径验证"
"2025-06","电力","639","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0630","多记录删除子查询路径验证"
"2025-07","电力","640","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0631","多记录删除子查询路径验证"
"2025-08","电力","641","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0632","多记录删除子查询路径验证"
"2025-09","电力","642","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0633","多记录删除子查询路径验证"
"2025-10","电力","643","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0634","多记录删除子查询路径验证"
"2025-11","电力","644","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0635","多记录删除子查询路径验证"
"2025-12","电力","645","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0636","多记录删除子查询路径验证"
"2025-01","电力","646","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0637","多记录删除子查询路径验证"
"2025-02","电力","647","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0638","多记录删除子查询路径验证"
"2025-03","电力","648","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0639","多记录删除子查询路径验证"
"2025-04","电力","649","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0640","多记录删除子查询路径验证"
"2025-05","电力","650","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0641","多记录删除子查询路径验证"
"2025-06","电力","651","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0642","多记录删除子查询路径验证"
"2025-07","电力","652","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0643","多记录删除子查询路径验证"
"2025-08","电力","653","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0644","多记录删除子查询路径验证"
"2025-09","电力","654","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0645","多记录删除子查询路径验证"
"2025-10","电力","655","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0646","多记录删除子查询路径验证"
"2025-11","电力","656","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0647","多记录删除子查询路径验证"
"2025-12","电力","657","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0648","多记录删除子查询路径验证"
"2025-01","电力","658","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0649","多记录删除子查询路径验证"
"2025-02","电力","659","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0650","多记录删除子查询路径验证"
"2025-03","电力","660","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0651","多记录删除子查询路径验证"
"2025-04","电力","661","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0652","多记录删除子查询路径验证"
"2025-05","电力","662","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0653","多记录删除子查询路径验证"
"2025-06","电力","663","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0654","多记录删除子查询路径验证"
"2025-07","电力","664","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0655","多记录删除子查询路径验证"
"2025-08","电力","665","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0656","多记录删除子查询路径验证"
"2025-09","电力","666","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0657","多记录删除子查询路径验证"
"2025-10","电力","667","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0658","多记录删除子查询路径验证"
"2025-11","电力","668","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0659","多记录删除子查询路径验证"
"2025-12","电力","669","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0660","多记录删除子查询路径验证"
"2025-01","电力","670","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0661","多记录删除子查询路径验证"
"2025-02","电力","671","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0662","多记录删除子查询路径验证"
"2025-03","电力","672","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0663","多记录删除子查询路径验证"
"2025-04","电力","673","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0664","多记录删除子查询路径验证"
"2025-05","电力","674","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0665","多记录删除子查询路径验证"
"2025-06","电力","675","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0666","多记录删除子查询路径验证"
"2025-07","电力","676","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0667","多记录删除子查询路径验证"
"2025-08","电力","677","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0668","多记录删除子查询路径验证"
"2025-09","电力","678","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0669","多记录删除子查询路径验证"
"2025-10","电力","679","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0670","多记录删除子查询路径验证"
"2025-11","电力","680","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0671","多记录删除子查询路径验证"
"2025-12","电力","681","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0672","多记录删除子查询路径验证"
"2025-01","电力","682","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0673","多记录删除子查询路径验证"
"2025-02","电力","683","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0674","多记录删除子查询路径验证"
"2025-03","电力","684","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0675","多记录删除子查询路径验证"
"2025-04","电力","685","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0676","多记录删除子查询路径验证"
"2025-05","电力","686","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0677","多记录删除子查询路径验证"
"2025-06","电力","687","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0678","多记录删除子查询路径验证"
"2025-07","电力","688","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0679","多记录删除子查询路径验证"
"2025-08","电力","689","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0680","多记录删除子查询路径验证"
"2025-09","电力","690","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0681","多记录删除子查询路径验证"
"2025-10","电力","691","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0682","多记录删除子查询路径验证"
"2025-11","电力","692","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0683","多记录删除子查询路径验证"
"2025-12","电力","693","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0684","多记录删除子查询路径验证"
"2025-01","电力","694","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0685","多记录删除子查询路径验证"
"2025-02","电力","695","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0686","多记录删除子查询路径验证"
"2025-03","电力","696","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0687","多记录删除子查询路径验证"
"2025-04","电力","697","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0688","多记录删除子查询路径验证"
"2025-05","电力","698","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0689","多记录删除子查询路径验证"
"2025-06","电力","699","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0690","多记录删除子查询路径验证"
"2025-07","电力","700","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0691","多记录删除子查询路径验证"
"2025-08","电力","701","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0692","多记录删除子查询路径验证"
"2025-09","电力","702","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0693","多记录删除子查询路径验证"
"2025-10","电力","703","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0694","多记录删除子查询路径验证"
"2025-11","电力","704","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0695","多记录删除子查询路径验证"
"2025-12","电力","705","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0696","多记录删除子查询路径验证"
"2025-01","电力","706","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0697","多记录删除子查询路径验证"
"2025-02","电力","707","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0698","多记录删除子查询路径验证"
"2025-03","电力","708","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0699","多记录删除子查询路径验证"
"2025-04","电力","709","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0700","多记录删除子查询路径验证"
"2025-05","电力","710","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0701","多记录删除子查询路径验证"
"2025-06","电力","711","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0702","多记录删除子查询路径验证"
"2025-07","电力","712","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0703","多记录删除子查询路径验证"
"2025-08","电力","713","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0704","多记录删除子查询路径验证"
"2025-09","电力","714","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0705","多记录删除子查询路径验证"
"2025-10","电力","715","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0706","多记录删除子查询路径验证"
"2025-11","电力","716","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0707","多记录删除子查询路径验证"
"2025-12","电力","717","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0708","多记录删除子查询路径验证"
"2025-01","电力","718","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0709","多记录删除子查询路径验证"
"2025-02","电力","719","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0710","多记录删除子查询路径验证"
"2025-03","电力","720","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0711","多记录删除子查询路径验证"
"2025-04","电力","721","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0712","多记录删除子查询路径验证"
"2025-05","电力","722","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0713","多记录删除子查询路径验证"
"2025-06","电力","723","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0714","多记录删除子查询路径验证"
"2025-07","电力","724","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0715","多记录删除子查询路径验证"
"2025-08","电力","725","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0716","多记录删除子查询路径验证"
"2025-09","电力","726","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0717","多记录删除子查询路径验证"
"2025-10","电力","727","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0718","多记录删除子查询路径验证"
"2025-11","电力","728","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0719","多记录删除子查询路径验证"
"2025-12","电力","729","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0720","多记录删除子查询路径验证"
"2025-01","电力","730","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0721","多记录删除子查询路径验证"
"2025-02","电力","731","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0722","多记录删除子查询路径验证"
"2025-03","电力","732","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0723","多记录删除子查询路径验证"
"2025-04","电力","733","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0724","多记录删除子查询路径验证"
"2025-05","电力","734","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0725","多记录删除子查询路径验证"
"2025-06","电力","735","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0726","多记录删除子查询路径验证"
"2025-07","电力","736","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0727","多记录删除子查询路径验证"
"2025-08","电力","737","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0728","多记录删除子查询路径验证"
"2025-09","电力","738","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0729","多记录删除子查询路径验证"
"2025-10","电力","739","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0730","多记录删除子查询路径验证"
"2025-11","电力","740","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0731","多记录删除子查询路径验证"
"2025-12","电力","741","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0732","多记录删除子查询路径验证"
"2025-01","电力","742","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0733","多记录删除子查询路径验证"
"2025-02","电力","743","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0734","多记录删除子查询路径验证"
